Персонаж;ТЕКСТ
ЭЛЛА;Я нашла книгу.
АМАЛИЯ;Ооо, спасибо милочка, ты так любезна! Как раз про мои любимые красные лилии! Хоть и у меня была лишь электронная версия этой книги, но в живую её трогать ещё приятнее!
ЭЛЛА;Стоп, извините, разве это не ваша книга?
АМАЛИЯ;Нуу, на самом деле она была у моей соседки, но она так плохо следит за своими вещами. Вот недавно как раз и видела, как девчушка стащила у неё эту книгу, а ведь нужно быть более внимательной!
ЭЛЛА (В МЫСЛЯХ);Чудеса, да и только! Так легко попалась на обман сумасшедшей женщины…
ЭЛЛА (В МЫСЛЯХ);Я – пособник в преступлении, получается? Хотя это уже не первый проступок за сегодня.
АМАЛИЯ;Это так элементарно, соблюдать порядок, не терять вещи. Порядок дома – порядок в голове!
ЭЛЛА;Так! Я принесла то, что вам было нужно! А теперь расскажите, пожалуйста, о сумасшедшем старикане!
АМАЛИЯ;Ах да, точно. Ладно, расскажу. Он не был таким изначально. Но недавно, примерно месяц назад, когда пропала одна девушка, он стал заходить в это кафе и кричать околесицу. Он уверен, что именно из-за этого кафе потерялась девушка.
ЭЛЛА;А кто эта девушка?
АМАЛИЯ;Мы обычно не говорим подробностей, но тебе так уж и быть, скажу. Это была Лили. Но никто в этой деревне тебе этого не скажет, люди не хотят, чтобы приезжие быстро уезжали из-за страха.
ЭЛЛА (В МЫСЛЯХ);Лили пропала? Вот почему мне никто ничего не говорит. Звучит и вправду страшно. Хочу ли я знать правду? Чем я отплачу за правду?
